C0 (619 genes)	C1 (474 genes)
TRIM29	ZNF598
TRIM32	ZNF608
TRIM37	ZNF609
TRIM38	ZNF614
TRIM45	ZNF620
TRIM46	ZNF621
TRIM55	ZNF622
TRIM62	ZNF628
TRIM63	ZNF639
TRIM65	ZNF653
TRIM67	ZNF654
TRIM71	ZNF655
TRIM9	ZNF668
TRIP12	ZNF672
TRMT1L	ZNF689
TRMT2B	ZNF703
TRNP1	ZNF707
TRPC4AP	ZNF736
TRPC6	ZNF74
TRPM3	ZNF746
TRPM4	ZNF764
TRPT1	ZNF777
TSC22D1	ZNF778
TSC22D4	
TSEN15	
TSHZ1	
TSN	
TSNAXIP1	
TSPAN10	
TSPAN12	
TSPAN13	
XPNPEP3	
XPR1	
XRCC1	
XRN1	
XRRA1	
XYLB	
XYLT2	
YEATS2	
YIPF1	
YIPF3	
YKT6	
YPEL1	
YPEL2	
YPEL3	
YPEL5	
YTHDC2	
YTHDF3	
YWHAE	
YWHAQ	
ZADH2	
ZBED3	
ZBED5	
ZBED8	
ZBTB1	
ZBTB14	
ZBTB22	
ZBTB26	
ZBTB38	
ZBTB4	
ZBTB41	
ZBTB45	
ZBTB5	
ZBTB7C	
ZBTB8OS	
ZC2HC1A	
ZC2HC1C	
ZC3H6	
ZCCHC12	
ZCRB1	
ZDHHC1	
ZDHHC13	
ZDHHC19	
ZDHHC2	
ZDHHC21	
ZDHHC23	
ZDHHC4	
ZER1	
ZFAND6	
ZFC3H1	
ZFP14	
ZFP2	
ZFP3	
ZFP62	
ZFP90	
ZFYVE1	
ZFYVE16	
ZFYVE19	
ZIK1	
ZKSCAN3	
ZKSCAN5	
ZKSCAN8	
ZMYM3	
ZMYM4	
ZMYND10	
ZMYND12	
ZNF140	
ZNF155	
ZNF160	
ZNF181	
ZNF182	
ZNF185	
ZNF189	
ZNF197	
ZNF222	
ZNF224	
ZNF226	
ZNF23	
ZNF233	
ZNF24	
ZNF253	
ZNF260	
ZNF268	
ZNF284	
ZNF285	
ZNF302	
ZNF311	
ZNF318	
ZNF32	
ZNF331	
ZNF358	
ZNF385B	
ZNF385C	
ZNF391	
ZNF395	
ZNF397	
ZNF423	
ZNF425	
ZNF43	
ZNF436	
ZNF441	
ZNF449	
ZNF461	
ZNF467	
ZNF483	
ZNF484	
ZNF485	
ZNF512	
ZNF513	
ZNF517	
ZNF518A	
ZNF546	
ZNF549	
ZNF555	
ZNF561	
ZNF569	
ZNF570	
ZNF572	
ZNF579	
ZNF582	
ZNF585B	
ZNF586	
ZNF613	
ZNF616	
ZNF638	
ZNF644	
ZNF652	
ZNF658	
ZNF667	
ZNF671	
ZNF687	
ZNF688	
ZNF691	
ZNF710	
ZNF732	
ZNF740	
ZNF75D	
ZNF766	
